file	sample	sample_name	condition	replicate
/scratch/lb4489/project/hcc/iprox/L102_T/CNHPP_HCC_LC_profiling_L102T_02.mzML	L102_T	L102_T	L102	1
/scratch/lb4489/project/hcc/iprox/L102_T/CNHPP_HCC_LC_profiling_L102T_05.mzML	L102_T	L102_T	L102	1
/scratch/lb4489/project/hcc/iprox/L102_T/CNHPP_HCC_LC_profiling_L102T_06.mzML	L102_T	L102_T	L102	1
/scratch/lb4489/project/hcc/iprox/L103_P/CNHPP_HCC_LC_profiling_L103P_02.mzML	L103_P	L103_P	L103	1
/scratch/lb4489/project/hcc/iprox/L103_P/CNHPP_HCC_LC_profiling_L103P_05.mzML	L103_P	L103_P	L103	1
/scratch/lb4489/project/hcc/iprox/L103_P/CNHPP_HCC_LC_profiling_L103P_01.mzML	L103_P	L103_P	L103	1
/scratch/lb4489/project/hcc/iprox/L103_P/CNHPP_HCC_LC_profiling_L103P_03.mzML	L103_P	L103_P	L103	1
/scratch/lb4489/project/hcc/iprox/L103_P/CNHPP_HCC_LC_profiling_L103P_06.mzML	L103_P	L103_P	L103	1
/scratch/lb4489/project/hcc/iprox/L103_P/CNHPP_HCC_LC_profiling_L103P_04.mzML	L103_P	L103_P	L103	1
/scratch/lb4489/project/hcc/iprox/L103_T/CNHPP_HCC_LC_profiling_L103T_05.mzML	L103_T	L103_T	L103	1
/scratch/lb4489/project/hcc/iprox/L103_T/CNHPP_HCC_LC_profiling_L103T_04.mzML	L103_T	L103_T	L103	1
/scratch/lb4489/project/hcc/iprox/L103_T/CNHPP_HCC_LC_profiling_L103T_03.mzML	L103_T	L103_T	L103	1
/scratch/lb4489/project/hcc/iprox/L103_T/CNHPP_HCC_LC_profiling_L103T_06.mzML	L103_T	L103_T	L103	1
/scratch/lb4489/project/hcc/iprox/L103_T/CNHPP_HCC_LC_profiling_L103T_02.mzML	L103_T	L103_T	L103	1
/scratch/lb4489/project/hcc/iprox/L103_T/CNHPP_HCC_LC_profiling_L103T_01.mzML	L103_T	L103_T	L103	1
/scratch/lb4489/project/hcc/iprox/L104_P/CNHPP_HCC_LC_profiling_L104P_F6.mzML	L104_P	L104_P	L104	1
/scratch/lb4489/project/hcc/iprox/L104_P/CNHPP_HCC_LC_profiling_L104P__F1.mzML	L104_P	L104_P	L104	1
/scratch/lb4489/project/hcc/iprox/L104_P/CNHPP_HCC_LC_profiling_L104P_F5.mzML	L104_P	L104_P	L104	1
/scratch/lb4489/project/hcc/iprox/L104_P/CNHPP_HCC_LC_profiling_L104P__F2.mzML	L104_P	L104_P	L104	1
/scratch/lb4489/project/hcc/iprox/L104_P/CNHPP_HCC_LC_profiling_L104P_F4.mzML	L104_P	L104_P	L104	1
/scratch/lb4489/project/hcc/iprox/L104_P/CNHPP_HCC_LC_profiling_L104P_F3.mzML	L104_P	L104_P	L104	1
/scratch/lb4489/project/hcc/iprox/L104_T/CNHPP_HCC_LC_profiling_L104T_F4.mzML	L104_T	L104_T	L104	1
/scratch/lb4489/project/hcc/iprox/L104_T/CNHPP_HCC_LC_profiling_L104T_F5.mzML	L104_T	L104_T	L104	1
/scratch/lb4489/project/hcc/iprox/L104_T/CNHPP_HCC_LC_profiling_L104T_F3.mzML	L104_T	L104_T	L104	1
/scratch/lb4489/project/hcc/iprox/L104_T/CNHPP_HCC_LC_profiling_L104T_F1.mzML	L104_T	L104_T	L104	1
/scratch/lb4489/project/hcc/iprox/L104_T/CNHPP_HCC_LC_profiling_L104T_F6.mzML	L104_T	L104_T	L104	1
/scratch/lb4489/project/hcc/iprox/L104_T/CNHPP_HCC_LC_profiling_L104T_F2.mzML	L104_T	L104_T	L104	1
/scratch/lb4489/project/hcc/iprox/L105_P/CNHPP_HCC_LC_profiling_L105_P_F5.mzML	L105_P	L105_P	L105	1
/scratch/lb4489/project/hcc/iprox/L105_P/CNHPP_HCC_LC_profiling_L105_P_F4.mzML	L105_P	L105_P	L105	1
/scratch/lb4489/project/hcc/iprox/L105_P/CNHPP_HCC_LC_profiling_L105_P_F6.mzML	L105_P	L105_P	L105	1
/scratch/lb4489/project/hcc/iprox/L105_P/CNHPP_HCC_LC_profiling_L105_P_F2.mzML	L105_P	L105_P	L105	1
/scratch/lb4489/project/hcc/iprox/L105_P/CNHPP_HCC_LC_profiling_L105_P_F3.mzML	L105_P	L105_P	L105	1
/scratch/lb4489/project/hcc/iprox/L105_P/CNHPP_HCC_LC_profiling_L105_P_F1.mzML	L105_P	L105_P	L105	1
/scratch/lb4489/project/hcc/iprox/L105_T/CNHPP_HCC_LC_profiling_L105_T_F1.mzML	L105_T	L105_T	L105	1
/scratch/lb4489/project/hcc/iprox/L105_T/CNHPP_HCC_LC_profiling_L105_T_F3.mzML	L105_T	L105_T	L105	1
/scratch/lb4489/project/hcc/iprox/L105_T/CNHPP_HCC_LC_profiling_L105_T_F6.mzML	L105_T	L105_T	L105	1
/scratch/lb4489/project/hcc/iprox/L105_T/CNHPP_HCC_LC_profiling_L105_T_F2.mzML	L105_T	L105_T	L105	1
/scratch/lb4489/project/hcc/iprox/L105_T/CNHPP_HCC_LC_profiling_L105_T_F4.mzML	L105_T	L105_T	L105	1
/scratch/lb4489/project/hcc/iprox/L105_T/CNHPP_HCC_LC_profiling_L105_T_F5.mzML	L105_T	L105_T	L105	1
/scratch/lb4489/project/hcc/iprox/L106_P/CNHPP_HCC_LC_profiling_L106_P_F1.mzML	L106_P	L106_P	L106	1
/scratch/lb4489/project/hcc/iprox/L106_P/CNHPP_HCC_LC_profiling_L106_P_F4.mzML	L106_P	L106_P	L106	1
/scratch/lb4489/project/hcc/iprox/L106_P/CNHPP_HCC_LC_profiling_L106_P_F5.mzML	L106_P	L106_P	L106	1
/scratch/lb4489/project/hcc/iprox/L106_P/CNHPP_HCC_LC_profiling_L106_P_F6.mzML	L106_P	L106_P	L106	1
/scratch/lb4489/project/hcc/iprox/L106_P/CNHPP_HCC_LC_profiling_L106_P_F2.mzML	L106_P	L106_P	L106	1
/scratch/lb4489/project/hcc/iprox/L106_P/CNHPP_HCC_LC_profiling_L106_P_F3.mzML	L106_P	L106_P	L106	1
/scratch/lb4489/project/hcc/iprox/L106_T/CNHPP_HCC_LC_profiling_L106_T_F5.mzML	L106_T	L106_T	L106	1
/scratch/lb4489/project/hcc/iprox/L106_T/CNHPP_HCC_LC_profiling_L106_T_F1.mzML	L106_T	L106_T	L106	1
/scratch/lb4489/project/hcc/iprox/L106_T/CNHPP_HCC_LC_profiling_L106_T_F6.mzML	L106_T	L106_T	L106	1
/scratch/lb4489/project/hcc/iprox/L106_T/CNHPP_HCC_LC_profiling_L106_T_F2.mzML	L106_T	L106_T	L106	1
/scratch/lb4489/project/hcc/iprox/L106_T/CNHPP_HCC_LC_profiling_L106_T_F4.mzML	L106_T	L106_T	L106	1
/scratch/lb4489/project/hcc/iprox/L106_T/CNHPP_HCC_LC_profiling_L106_T_F3.mzML	L106_T	L106_T	L106	1
/scratch/lb4489/project/hcc/iprox/L107_P/CNHPP_HCC_LC_profiling_L107_P_F5.mzML	L107_P	L107_P	L107	1
/scratch/lb4489/project/hcc/iprox/L107_P/CNHPP_HCC_LC_profiling_L107_P_F2.mzML	L107_P	L107_P	L107	1
/scratch/lb4489/project/hcc/iprox/L107_P/CNHPP_HCC_LC_profiling_L107_P_F6.mzML	L107_P	L107_P	L107	1
/scratch/lb4489/project/hcc/iprox/L107_P/CNHPP_HCC_LC_profiling_L107_P_F3.mzML	L107_P	L107_P	L107	1
/scratch/lb4489/project/hcc/iprox/L107_P/CNHPP_HCC_LC_profiling_L107_P_F1.mzML	L107_P	L107_P	L107	1
